PHOENIX SUNS Media Delivery,,SYNC COMPLETE,CONTENT ERRORS,,FUSE PROGRAMMER,,,PROGRAMMING IN PROGRESS,,,HUD,,,,RETURN TO INDEX,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,LOOK IDENTIFIER #,File Name,File Version,Content Notes,Version,Bank,Slot ,Mapping #,"Mapping 
Code",File Length,Play Mode,Error Flag,Midi Button,Notes to Kerstin,General/Show Call Notes,Upversioned Date,Folder,Look,File Path,Error Flag,Format,Codec_ID,Duration,Bit Rate,Width,Height,Aspect Ratio,Frame Rate Mode,Frame Rate,Stream Size,"Audio For,at",Audio Format/Settings,Audio Codec ID,Audio Duration,Audio Channels,Audio Channel Layout,Audio Sampling Rate,Audio Bit Depth
,08_4thQTR,081_4thQTR_AUD_F_v01.mov,1,,1,160,081,001,AUD_F,10s,,-,,,"Bumper into the 4th. Goes with ""Jungle Audio"" from DJ ",,160_PHX_PCC,08_4thQTR,\160_PHX_PCC\08_4thQTR\081_4thQTR_AUD_F_v01.mov,-,nclc,nclc,10010,1281154078,10160,1600,6.350,CFR,29.970,1605232655,PCM,Little / Signed,sowt,10010,2,L R,48000,16
,,084_4thQTR_RIB_F_v02.mov,2,,2,160,084,010,RIB_F,10s,,-,,,,7/22/2020 22:48:55,160_PHX_PCC,08_4thQTR,\160_PHX_PCC\08_4thQTR\084_4thQTR_RIB_F_v02.mov,-,nclc,nclc,10010,179241471,9504,144,66.000,CFR,29.970,226473909,PCM,Little / Signed,sowt,10010,2,L R,48000,16
161_PHX_FERA,01_3Pointer,010_3Pointer_AUDIO_v01.mov,1,,1,161,010,024,AUDIO,6.03s,,-,,,,,161_PHX_FERA,01_3Pointer,\161_PHX_FERA\01_3Pointer\010_3Pointer_AUDIO_v01.mov,-,nclc,nclc,6040,56386,16,16,1.000,CFR,29.970,1451363,PCM,Little / Signed,sowt,6040,2,L R,48000,16
,,011_3Pointer_AUD_F_v01.mov,1,,1,161,011,001,AUD_F,6.03s,,-,,,,,161_PHX_FERA,01_3Pointer,\161_PHX_FERA\01_3Pointer\011_3Pointer_AUD_F_v01.mov,-,nclc,nclc,6040,2548055750,10160,1600,6.350,CFR,29.970,1924991090,PCM,Little / Signed,sowt,6040,2,L R,48000,16
,02_BigDunk,020_BigDunk_AUDIO_v01.mov,1,,1,161,020,024,AUDIO,6.03s,,-,,,,,161_PHX_FERA,02_BigDunk,\161_PHX_FERA\02_BigDunk\020_BigDunk_AUDIO_v01.mov,-,nclc,nclc,6040,55906,16,16,1.000,CFR,29.970,1454427,PCM,Little / Signed,sowt,6040,2,L R,48000,16
,,021_BigDunk_AUD_F_v01.mov,1,,1,161,021,001,AUD_F,6.03s,,-,,,,,161_PHX_FERA,02_BigDunk,\161_PHX_FERA\02_BigDunk\021_BigDunk_AUD_F_v01.mov,-,nclc,nclc,6040,2491229654,10160,1600,6.350,CFR,29.970,1882095269,PCM,Little / Signed,sowt,6040,2,L R,48000,16
,03_BigShot,030_BigShot_AUDIO_v01.mov,1,,1,161,030,024,AUDIO,6.03s,,-,,,,,161_PHX_FERA,03_BigShot,\161_PHX_FERA\03_BigShot\030_BigShot_AUDIO_v01.mov,-,nclc,nclc,6040,55982,16,16,1.000,CFR,29.970,1456334,PCM,Little / Signed,sowt,6040,2,L R,48000,16
,,031_BigShot_AUD_F_v01.mov,1,,1,161,031,001,AUD_F,6.03s,,-,,,,,161_PHX_FERA,03_BigShot,\161_PHX_FERA\03_BigShot\031_BigShot_AUD_F_v01.mov,-,nclc,nclc,6040,2463527113,10160,1600,6.350,CFR,29.970,1861183873,PCM,Little / Signed,sowt,6040,2,L R,48000,16
,04_Block,040_Block_AUDIO_v01.mov,1,,1,161,040,024,AUDIO,6.03s,,-,,,,,161_PHX_FERA,04_Block,\161_PHX_FERA\04_Block\040_Block_AUDIO_v01.mov,-,nclc,nclc,6040,55950,16,16,1.000,CFR,29.970,1458674,PCM,Little / Signed,sowt,6040,2,L R,48000,16
,,041_Block_AUD_F_v01.mov,1,,1,161,041,001,AUD_F,6.03s,,-,,,,,161_PHX_FERA,04_Block,\161_PHX_FERA\04_Block\041_Block_AUD_F_v01.mov,-,nclc,nclc,6040,2495549418,10160,1600,6.350,CFR,29.970,1885360566,PCM,Little / Signed,sowt,6040,2,L R,48000,16
,05_Cheering,050_Cheering_AUDIO_v01.mov,1,,1,161,050,024,AUDIO,6.03s,,-,,,,,161_PHX_FERA,05_Cheering,\161_PHX_FERA\05_Cheering\050_Cheering_AUDIO_v01.mov,-,nclc,nclc,6040,55244,16,16,1.000,CFR,29.970,1469819,PCM,Little / Signed,sowt,6040,2,L R,48000,16
,,051_Cheering_AUD_F_v01.mov,1,,1,161,051,001,AUD_F,6.03s,,-,,,,,161_PHX_FERA,05_Cheering,\161_PHX_FERA\05_Cheering\051_Cheering_AUD_F_v01.mov,-,nclc,nclc,6040,2619618424,10160,1600,6.350,CFR,29.970,1979034615,PCM,Little / Signed,sowt,6040,2,L R,48000,16
,06_FTEye,060_FTEye_AUDIO_v01.mov,1,,1,161,060,024,AUDIO,6.03s,,-,,,For oppont FT ,,161_PHX_FERA,06_FTEye,\161_PHX_FERA\06_FTEye\060_FTEye_AUDIO_v01.mov,-,nclc,nclc,6040,57328,16,16,1.000,CFR,29.970,1462672,PCM,Little / Signed,sowt,6040,2,L R,48000,16
