PHILADELPHIA 76ERS Media Delivery,,SYNC COMPLETE,CONTENT ERRORS,,FUSE PROGRAMMER,,,PROGRAMMING IN PROGRESS,,,HUD,,,,RETURN TO INDEX,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,LOOK IDENTIFIER #,File Name,File Version,Notes,Version,Bank,Slot ,Mapping #,"Mapping 
Code",File Length,Play Mode,Error Flag,Midi Button,Notes to Kerstin,General/Show Call Notes,Upversioned Date,Folder,Look,File Path,Error Flag,Format,Codec_ID,Duration,Bit Rate,Width,Height,Aspect Ratio,Frame Rate Mode,Frame Rate,Stream Size,"Audio For,at",Audio Format/Settings,Audio Codec ID,Audio Duration,Audio Channels,Audio Channel Layout,Audio Sampling Rate,Audio Bit Depth
,,048_Defense_SCB_v01.mov,1,,1,150,048,017,SCB,30.57s,,-,47,,,,150_PHI_PCC,04_Defense,\150_PHI_PCC\04_Defense\048_Defense_SCB_v01.mov,-,nclc,nclc,30598,135420778,1920,1080,1.778,CFR,29.970,523821442,PCM,Little / Signed,sowt,30598,2,L R,48000,16
,05_Defense-Still,051_Defense-Still_AUD_F_v01.mov,1,,1,150,051,001,AUD_F,,,-F,,,,,150_PHI_PCC,05_Defense-Still,\150_PHI_PCC\05_Defense-Still\051_Defense-Still_AUD_F_v01.mov,-F,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File
,,054_Defense-Still_RIB_F_v01.mov,1,,1,150,054,010,RIB_F,,,-F,,,,,150_PHI_PCC,05_Defense-Still,\150_PHI_PCC\05_Defense-Still\054_Defense-Still_RIB_F_v01.mov,-F,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File
,,058_Defense-Still_SCB_v01.mov,1,,1,150,058,017,SCB,,,-F,,,,,150_PHI_PCC,05_Defense-Still,\150_PHI_PCC\05_Defense-Still\058_Defense-Still_SCB_v01.mov,-F,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File
151_PHI_FERA,,,,,,,,,,,,-,,,,,151_PHI_FERA,05_Defense-Still,Skip,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
152_PHI_Image_1,,,,,,,,,,,,-,,,,,152_PHI_Image_1,05_Defense-Still,Skip,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
153_PHI_Image_2,,,,,,,,,,,,-,,,,,153_PHI_Image_2,05_Defense-Still,Skip,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
154_PHI_Video,00_Open01,000_Open01_AUDIO_v01.mov,1,Wrong Sample Rate -CD,1,154,000,024,AUDIO,1m26.93s,,-A,,Mising on HP 202. Issue with Sync? ,Audio needs clearance ,,154_PHI_Video,00_Open01,\154_PHI_Video\00_Open01\000_Open01_AUDIO_v01.mov,-A,nclc,nclc,87021,91840,16,16,1.000,CFR,29.970,17822411,PCM,Little / Signed,sowt,87021,2,L R,44100,16
,,001_Open01_AUD_F_v02.mov,2,,2,154,001,001,AUD_F,,,-F,,,,,154_PHI_Video,00_Open01,\154_PHI_Video\00_Open01\001_Open01_AUD_F_v02.mov,-F,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File
,,004_Open01_RIB_F_v01.mov,1,,1,154,004,010,RIB_F,1m26.93s,,-,,,,,154_PHI_Video,00_Open01,\154_PHI_Video\00_Open01\004_Open01_RIB_F_v01.mov,-,nclc,nclc,87021,137401285,9504,144,66.000,CFR,29.970,1511525649,PCM,Little / Signed,sowt,87021,2,L R,44100,16
,,008_Open01_SCB_v01.mov,1,,1,154,008,017,SCB,1m26.93s,,-,,,,,154_PHI_Video,00_Open01,\154_PHI_Video\00_Open01\008_Open01_SCB_v01.mov,-,nclc,nclc,87021,488325021,1920,1080,1.778,CFR,29.970,5328620363,PCM,Little / Signed,sowt,87021,2,L R,44100,16
