NBA GENERIC Media Delivery,,SYNC COMPLETE,CONTENT ERRORS,,FUSE PROGRAMMER,,,PROGRAMMING IN PROGRESS,,,HUD,,,,RETURN TO INDEX,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,LOOK IDENTIFIER #,File Name,File Version,Notes,Version,Bank,Slot ,Mapping #,"Mapping 
Code",File Length,Play Mode,Error Flag,Loop Out Frame,Notes to Kerstin,General/Show Call Notes,Upversioned Date,Folder,Look,File Path,Error Flag,Format,Codec_ID,Duration,Bit Rate,Width,Height,Aspect Ratio,Frame Rate Mode,Frame Rate,Stream Size,"Audio For,at",Audio Format/Settings,Audio Codec ID,Audio Duration,Audio Channels,Audio Channel Layout,Audio Sampling Rate,Audio Bit Depth
,,074_Prompt3PointerB_RIB_F_v03.mov,3,,2,230,074,010,RIB_F,6s,,-,,,,7/23/2020 7:34:33,230_NBA_PROMPTS,07_3PointerB,\230_NBA_PROMPTS\07_3PointerB\074_Prompt3PointerB_RIB_F_v03.mov,-,nclc,nclc,"6,006","146,142,438",9504,144,66.000,CFR,29.970,109718661,-,-,-,-,-,-,-,-
,08_GetLoud,081_PromptGetLoud_AUD_F_v01.mov,1,,1,230,081,001,AUD_F,6s,,-,,,,,230_NBA_PROMPTS,08_GetLoud,\230_NBA_PROMPTS\08_GetLoud\081_PromptGetLoud_AUD_F_v01.mov,-,nclc,nclc,"6,006","1,323,898,118",10160,1600,6.350,CFR,29.970,993919622,-,-,-,-,-,-,-,-
,,084_PromptGetLoud_RIB_F_v01.mov,1,,1,230,084,010,RIB_F,6s,,-,,,,,230_NBA_PROMPTS,08_GetLoud,\230_NBA_PROMPTS\08_GetLoud\084_PromptGetLoud_RIB_F_v01.mov,-,nclc,nclc,"6,006","148,452,908",9504,144,66.000,CFR,29.970,111453368,-,-,-,-,-,-,-,-
,09_USAFlag,091_FlagUSA_AUD_F_v01.mov,1,,1,230,091,001,AUD_F,10s,,-,,,,,230_NBA_PROMPTS,09_USAFlag,\230_NBA_PROMPTS\09_USAFlag\091_FlagUSA_AUD_F_v01.mov,-,nclc,nclc,"10,010","1,755,007,485",10160,1600,6.350,CFR,29.970,2195958388,-,-,-,-,-,-,-,-
,,094_FlagUSA_RIB_F_v03.mov,3,,3,230,094,010,RIB_F,10s,,-,,,,,230_NBA_PROMPTS,09_USAFlag,\230_NBA_PROMPTS\09_USAFlag\094_FlagUSA_RIB_F_v03.mov,-,nclc,nclc,10010,111292084,9504,144,66.000,CFR,29.970,139256835,-,-,-,-,-,-,-,-
,,097_FlagUSA_CRN_v01.mov,1,,1,230,097,014,CRN,10s,,-,,,,,230_NBA_PROMPTS,09_USAFlag,\230_NBA_PROMPTS\09_USAFlag\097_FlagUSA_CRN_v01.mov,-,nclc,nclc,"10,010","59,069,677",3336,208,16.038,CFR,29.970,73913183,-,-,-,-,-,-,-,-
,,098_FlagUSA_SCB_v01.mov,1,,1,230,098,017,SCB,10s,,-,,,,,230_NBA_PROMPTS,09_USAFlag,\230_NBA_PROMPTS\09_USAFlag\098_FlagUSA_SCB_v01.mov,-,nclc,nclc,"10,010","267,655,961",1920,1080,1.778,CFR,29.970,334907932,-,-,-,-,-,-,-,-
,10_CanadaFlag,101_FlagCanada_AUD_F_v01.mov,1,,1,230,101,001,AUD_F,10s,,-,,,,,230_NBA_PROMPTS,10_CanadaFlag,\230_NBA_PROMPTS\10_CanadaFlag\101_FlagCanada_AUD_F_v01.mov,-,nclc,nclc,"10,010","1,807,263,153",10160,1600,6.350,CFR,29.970,2261343358,-,-,-,-,-,-,-,-
,,104_FlagCanada_RIB_F_v03.mov,3,,3,230,104,010,RIB_F,10s,,-,,,,,230_NBA_PROMPTS,10_CanadaFlag,\230_NBA_PROMPTS\10_CanadaFlag\104_FlagCanada_RIB_F_v03.mov,-,nclc,nclc,10010,86710718,9504,144,66.000,CFR,29.970,108499371,-,-,-,-,-,-,-,-
,,107_FlagCanada_CRN_v01.mov,1,,1,230,107,014,CRN,10s,,-,,,,,230_NBA_PROMPTS,10_CanadaFlag,\230_NBA_PROMPTS\10_CanadaFlag\107_FlagCanada_CRN_v01.mov,-,nclc,nclc,"10,010","58,049,513",3336,208,16.038,CFR,29.970,72636702,-,-,-,-,-,-,-,-
