 MILWAUKEE BUCKS Media Delivery,,SYNC ACTIVE,CONTENT ERRORS,,FUSE PROGRAMMER,,,PROGRAMMING IN PROGRESS,,,HUD,,,,RETURN TO INDEX,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,LOOK IDENTIFIER #,File Name,File Version,Notes,Version,Bank,Slot ,Mapping #,"Mapping 
Code",File Length,Play Mode,Error Flag,Midi Button,Notes to Kerstin,General/Show Call Notes,Upversioned Date,Folder,Look,File Path,Error Flag,Format,Codec_ID,Duration,Bit Rate,Width,Height,Aspect Ratio,Frame Rate Mode,Frame Rate,Stream Size,"Audio For,at",Audio Format/Settings,Audio Codec ID,Audio Duration,Audio Channels,Audio Channel Layout,Audio Sampling Rate,Audio Bit Depth
,,064_MILWAUKEE_RIB_F_v01.mov,1,,,110,064,010,RIB_F,10s,,-,,,,7/22/2020 22:16:49,110_MIL_PCC,06_Milwaukee,\110_MIL_PCC\06_Milwaukee\064_MILWAUKEE_RIB_F_v01.mov,-,nclc,nclc,10010,70152369,9504,144,66.000,CFR,29.970,87780915,-,-,-,-,-,-,-,-
,,068_MILWAUKEE_SCB_v01.mov,1,,,110,068,017,SCB,20s,,-,,,,7/22/2020 22:16:50,110_MIL_PCC,06_Milwaukee,\110_MIL_PCC\06_Milwaukee\068_MILWAUKEE_SCB_v01.mov,-,nclc,nclc,20020,194808569,1920,1080,1.778,CFR,29.970,487514407,-,-,-,-,-,-,-,-
,07_GoBucksGo,071_GoBucksGo_AUD_F_v01.mov,1,,,110,071,001,AUD_F,10s,,-,,,,7/22/2020 22:16:51,110_MIL_PCC,07_GoBucksGo,\110_MIL_PCC\07_GoBucksGo\071_GoBucksGo_AUD_F_v01.mov,-,nclc,nclc,10010,328932702,10160,1600,6.350,CFR,29.970,411580567,-,-,-,-,-,-,-,-
,,074_GoBucksGo_RIB_F_v01.mov,1,,,110,074,010,RIB_F,10s,,-,,,,7/22/2020 22:16:51,110_MIL_PCC,07_GoBucksGo,\110_MIL_PCC\07_GoBucksGo\074_GoBucksGo_RIB_F_v01.mov,-,nclc,nclc,10010,33249447,9504,144,66.000,CFR,29.970,41605748,-,-,-,-,-,-,-,-
,,078_GoBucksGo_SCB_v01.mov,1,,,110,078,017,SCB,20s,,-,,,,7/22/2020 22:16:55,110_MIL_PCC,07_GoBucksGo,\110_MIL_PCC\07_GoBucksGo\078_GoBucksGo_SCB_v01.mov,-,nclc,nclc,20020,39283351,1920,1080,1.778,CFR,29.970,98310559,-,-,-,-,-,-,-,-
,08_3_Pointer,081_3_Pointer_AUD_F_v01.mov,1,,1,110,081,001,AUD_F,10s,,-,,,,,110_MIL_PCC,08_3_Pointer,\110_MIL_PCC\08_3_Pointer\081_3_Pointer_AUD_F_v01.mov,-,nclc,nclc,10010,275985473,10160,1600,6.350,CFR,29.970,347426637,PCM,Little / Signed,sowt,10010,2,L R,44100,16
,,084_3_Pointer_RIB_F_v03.mov,3,,2,110,084,010,RIB_F,10s,,-,,,,7/22/2020 22:09:48,110_MIL_PCC,08_3_Pointer,\110_MIL_PCC\08_3_Pointer\084_3_Pointer_RIB_F_v03.mov,-,nclc,nclc,10010,45714795,9504,144,66.000,CFR,29.970,59125843,PCM,Little / Signed,sowt,10011,2,L R,48000,16
,,088_3_Pointer_SCB_v01.mov,1,,1,110,088,017,SCB,10s,,-,,,,,110_MIL_PCC,08_3_Pointer,\110_MIL_PCC\08_3_Pointer\088_3_Pointer_SCB_v01.mov,-,nclc,nclc,10010,35256352,1920,1080,1.778,CFR,29.970,46122324,PCM,Little / Signed,sowt,10010,2,L R,44100,16
,09_BucksWin,091_BucksWin_AUD_F_v01.mov,1,,,110,091,001,AUD_F,10s,,-,,,,7/22/2020 22:16:56,110_MIL_PCC,09_BucksWin,\110_MIL_PCC\09_BucksWin\091_BucksWin_AUD_F_v01.mov,-,nclc,nclc,10010,3112459852,10160,1600,6.350,CFR,29.970,3894472360,-,-,-,-,-,-,-,-
,,094_BucksWin_RIB_F_v01.mov,1,,,110,094,010,RIB_F,10s,,-,,,,,110_MIL_PCC,09_BucksWin,\110_MIL_PCC\09_BucksWin\094_BucksWin_RIB_F_v01.mov,-,nclc,nclc,10010,310615320,9504,144,66.000,CFR,29.970,388660884,-,-,-,-,-,-,-,-
