CONTENT TEAM Information  for NBA GENERIC Media Delivery,,SYNC COMPLETE,NO ERRORS,,FUSE PROGRAMMER,,,PROGRAMMING IN PROGRESS,,,HUD,,,,RETURN TO INDEX,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,LOOK IDENTIFIER #,File Name,File Version,Notes,Version,Bank,Slot ,Mapping #,"Mapping 
Code",File Length,Play Mode,Error Flag,Loop Out Frame,Notes to Kerstin,General/Show Call Notes,Upversioned Date,Folder,Look,File Path,Error Flag,Format,Codec_ID,Duration,Bit Rate,Width,Height,Aspect Ratio,Frame Rate Mode,Frame Rate,Stream Size,"Audio For,at",Audio Format/Settings,Audio Codec ID,Audio Duration,Audio Channels,Audio Channel Layout,Audio Sampling Rate,Audio Bit Depth
,07_HOU_DAL,074_HOU_DAL_RIB_F_v01.mov,1,,,240,074,010,RIB_F,10s,,-,,,,7/23/2020 8:23:48,240_NBA_TTC_1A,07_HOU_DAL,\240_NBA_TTC_1A\07_HOU_DAL\074_HOU_DAL_RIB_F_v01.mov,-,nclc,nclc,10010,211041737,9504,144,66.000,CFR,29.970,264069314,-,-,-,-,-,-,-,-
,,077_TAP_TO_CHEER_CRN_v02.mov,2,,,240,077,014,CRN,10s,,-,,,,,240_NBA_TTC_1A,07_HOU_DAL,\240_NBA_TTC_1A\07_HOU_DAL\077_TAP_TO_CHEER_CRN_v02.mov,-,nclc,nclc,10010,7797687,3328,208,16.000,CFR,29.970,9758829,-,-,-,-,-,-,-,-
,08_MIA_DEN,084_MIA_DEN_RIB_F_v01.mov,1,,,240,084,010,RIB_F,10s,,-,,,,,240_NBA_TTC_1A,08_MIA_DEN,\240_NBA_TTC_1A\08_MIA_DEN\084_MIA_DEN_RIB_F_v01.mov,-,nclc,nclc,10010,177333287,9504,144,66.000,CFR,29.970,221891573,-,-,-,-,-,-,-,-
,,087_TAP_TO_CHEER_CRN_v02.mov,2,,,240,087,014,CRN,10s,,-,,,,7/23/2020 8:23:48,240_NBA_TTC_1A,08_MIA_DEN,\240_NBA_TTC_1A\08_MIA_DEN\087_TAP_TO_CHEER_CRN_v02.mov,-,nclc,nclc,10010,7797687,3328,208,16.000,CFR,29.970,9758829,-,-,-,-,-,-,-,-
,09_UTA_OKC,094_UTA_OKC_RIB_F_v01.mov,1,,,240,094,010,RIB_F,10s,,-,,,,7/23/2020 8:23:48,240_NBA_TTC_1A,09_UTA_OKC,\240_NBA_TTC_1A\09_UTA_OKC\094_UTA_OKC_RIB_F_v01.mov,-,nclc,nclc,10010,228593067,9504,144,66.000,CFR,29.970,286030437,-,-,-,-,-,-,-,-
,,097_TAP_TO_CHEER_CRN_v02.mov,2,,,240,097,014,CRN,10s,,-,,,,7/23/2020 8:23:47,240_NBA_TTC_1A,09_UTA_OKC,\240_NBA_TTC_1A\09_UTA_OKC\097_TAP_TO_CHEER_CRN_v02.mov,-,nclc,nclc,10010,7797687,3328,208,16.000,CFR,29.970,9758829,-,-,-,-,-,-,-,-
,10_NOP_LAC,104_NOP_LAC_RIB_F_v01.mov,1,,,240,104,010,RIB_F,10s,,-,,,,7/23/2020 8:23:42,240_NBA_TTC_1A,10_NOP_LAC,\240_NBA_TTC_1A\10_NOP_LAC\104_NOP_LAC_RIB_F_v01.mov,-,nclc,nclc,10010,195965360,9504,144,66.000,CFR,29.970,245204978,-,-,-,-,-,-,-,-
,,107_TAP_TO_CHEER_CRN_v02.mov,2,,,240,107,014,CRN,10s,,-,,,,7/23/2020 8:23:42,240_NBA_TTC_1A,10_NOP_LAC,\240_NBA_TTC_1A\10_NOP_LAC\107_TAP_TO_CHEER_CRN_v02.mov,-,nclc,nclc,10010,7797687,3328,208,16.000,CFR,29.970,9758829,-,-,-,-,-,-,-,-
,11_PHI_IND,114_PHI_IND_RIB_F_v01.mov,1,,,240,114,010,RIB_F,10s,,-,,,,,240_NBA_TTC_1A,11_PHI_IND,\240_NBA_TTC_1A\11_PHI_IND\114_PHI_IND_RIB_F_v01.mov,-,nclc,nclc,10010,227775262,9504,144,66.000,CFR,29.970,285007157,-,-,-,-,-,-,-,-
,,117_TAP_TO_CHEER_CRN_v02.mov,2,,,240,117,014,CRN,10s,,-,,,,7/23/2020 8:23:40,240_NBA_TTC_1A,11_PHI_IND,\240_NBA_TTC_1A\11_PHI_IND\117_TAP_TO_CHEER_CRN_v02.mov,-,nclc,nclc,10010,7797687,3328,208,16.000,CFR,29.970,9758829,-,-,-,-,-,-,-,-
,12_LAL_TOR,124_LAL_TOR_RIB_F_v01.mov,1,,,240,124,010,RIB_F,10s,,-,,,,7/23/2020 8:23:39,240_NBA_TTC_1A,12_LAL_TOR,\240_NBA_TTC_1A\12_LAL_TOR\124_LAL_TOR_RIB_F_v01.mov,-,nclc,nclc,10010,198721426,9504,144,66.000,CFR,29.970,248653509,-,-,-,-,-,-,-,-
