MIAMI HEAT Media Delivery,,SYNC COMPLETE,CONTENT ERRORS,,FUSE PROGRAMMER,,,PROGRAMMING IN PROGRESS,,,HUD,,,,RETURN TO INDEX,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,LOOK IDENTIFIER #,File Name,File Version,Notes,Version,Bank,Slot ,Mapping #,"Mapping 
Code",File Length,Play Mode,Error Flag,Midi Button,Notes to Kerstin,General/Show Call Notes,Upversioned Date,Folder,Look,File Path,Error Flag,Format,Codec_ID,Duration,Bit Rate,Width,Height,Aspect Ratio,Frame Rate Mode,Frame Rate,Stream Size,"Audio For,at",Audio Format/Settings,Audio Codec ID,Audio Duration,Audio Channels,Audio Channel Layout,Audio Sampling Rate,Audio Bit Depth
,03_DOS_MINUTOS_HEAT_CORE,030_DOS_MINUTOS_AUDIO_v02.mov,2,this is not stereo -JL,2,100,030,024,AUDIO,10s,,-,41,,,7/22/2020 13:16:30,100_MIA_PCC,03_DOS_MINUTOS_HEAT_CORE,\100_MIA_PCC\03_DOS_MINUTOS_HEAT_CORE\030_DOS_MINUTOS_AUDIO_v02.mov,-,nclc,nclc,10010,63636,16,16,1.000,CFR,29.970,2004010,PCM,Little / Signed,sowt,10011,2,L R,48000,16
,,031_DOS_MINUTOS_AUD_F_v02.mov,2,,2,100,031,001,AUD_F,10s,,-,41,,,7/22/2020 13:16:33,100_MIA_PCC,03_DOS_MINUTOS_HEAT_CORE,\100_MIA_PCC\03_DOS_MINUTOS_HEAT_CORE\031_DOS_MINUTOS_AUD_F_v02.mov,-,nclc,nclc,10010,305413601,10160,1600,6.350,CFR,29.970,382152230,-,-,-,-,-,-,-,-
,,034_DOS_MINUTOS_CORE_RIB_F_v02.mov,2,,2,100,034,010,RIB_F,10s,,-,41,,,7/22/2020 13:16:35,100_MIA_PCC,03_DOS_MINUTOS_HEAT_CORE,\100_MIA_PCC\03_DOS_MINUTOS_HEAT_CORE\034_DOS_MINUTOS_CORE_RIB_F_v02.mov,-,nclc,nclc,10010,39993624,9504,144,66.000,CFR,29.970,50044224,-,-,-,-,-,-,-,-
,,,,no SCB file delivered,,,,,,,,-,,,,,100_MIA_PCC,03_DOS_MINUTOS_HEAT_CORE,Skip,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,04_LETS_GO_HEAT_VICEWAVE,040_LETS_GO_HEAT_VICEWAVE_AUDIO_v01.mov,1,,1,100,040,024,AUDIO,10s,,-,,,,,100_MIA_PCC,04_LETS_GO_HEAT_VICEWAVE,\100_MIA_PCC\04_LETS_GO_HEAT_VICEWAVE\040_LETS_GO_HEAT_VICEWAVE_AUDIO_v01.mov,-,nclc,nclc,10010,96093,16,16,1.000,CFR,29.970,2174242,PCM,Little / Signed,sowt,10010,2,L R,48000,16
,,041_LETS_GO_HEAT_VICEWAVE_AUD_F_v01.mov,1,,1,100,041,001,AUD_F,10s,,-,,,,,100_MIA_PCC,04_LETS_GO_HEAT_VICEWAVE,\100_MIA_PCC\04_LETS_GO_HEAT_VICEWAVE\041_LETS_GO_HEAT_VICEWAVE_AUD_F_v01.mov,-,nclc,nclc,10010,2518186470,10160,1600,6.350,CFR,29.970,3152784088,PCM,Little / Signed,sowt,10010,2,L R,44100,16
,,044_LETS_GO_HEAT_VICEWAVE_RIB_F_v01.mov,1,,1,100,044,010,RIB_F,10s,,-,,,,,100_MIA_PCC,04_LETS_GO_HEAT_VICEWAVE,\100_MIA_PCC\04_LETS_GO_HEAT_VICEWAVE\044_LETS_GO_HEAT_VICEWAVE_RIB_F_v01.mov,-,nclc,nclc,10010,37750942,9504,144,66.000,CFR,29.970,49623616,PCM,Little / Signed,sowt,10010,2,L R,44100,16
,,048_LETS_GO_HEAT_VICEWAVE_SCB_v01.mov,1,,,100,048,017,SCB,,,-,,,,7/22/2020 13:20:17,100_MIA_PCC,04_LETS_GO_HEAT_VICEWAVE,Skip,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,05_LETS_GO_HEAT2_VICEWAVE,050_LETS_GO_HEAT2_VICEWAVE_AUDIO_v01.mov,1,,1,100,050,024,AUDIO,10s,,-,,,,,100_MIA_PCC,05_LETS_GO_HEAT2_VICEWAVE,\100_MIA_PCC\05_LETS_GO_HEAT2_VICEWAVE\050_LETS_GO_HEAT2_VICEWAVE_AUDIO_v01.mov,-,nclc,nclc,10010,96093,16,16,1.000,CFR,29.970,2174242,PCM,Little / Signed,sowt,10010,2,L R,48000,16
,,051_LETS_GO_HEAT2_VICEWAVE_AUD_F_v01.mov,1,,1,100,051,001,AUD_F,10s,,-,,,,,100_MIA_PCC,05_LETS_GO_HEAT2_VICEWAVE,\100_MIA_PCC\05_LETS_GO_HEAT2_VICEWAVE\051_LETS_GO_HEAT2_VICEWAVE_AUD_F_v01.mov,-,nclc,nclc,10010,2518186470,10160,1600,6.350,CFR,29.970,3152784088,PCM,Little / Signed,sowt,10010,2,L R,44100,16
,,054_LETS_GO_HEAT2_VICEWAVE_RIB_F_v01.mov,1,,1,100,054,010,RIB_F,3.33s,,-,,,,,100_MIA_PCC,05_LETS_GO_HEAT2_VICEWAVE,\100_MIA_PCC\05_LETS_GO_HEAT2_VICEWAVE\054_LETS_GO_HEAT2_VICEWAVE_RIB_F_v01.mov,-,nclc,nclc,3337,45220103,9504,144,66.000,CFR,29.970,20016974,PCM,Little / Signed,sowt,3337,2,L R,44100,16
,06_DEFENSE_VICEWAVE,060_DEFENSE_VICEWAVE_AUDIO_v01.mov,1,,1,100,060,024,AUDIO,10s,,-,,,,,100_MIA_PCC,06_DEFENSE_VICEWAVE,\100_MIA_PCC\06_DEFENSE_VICEWAVE\060_DEFENSE_VICEWAVE_AUDIO_v01.mov,-,nclc,nclc,10010,96117,16,16,1.000,CFR,29.970,2171360,PCM,Little / Signed,sowt,10010,2,L R,48000,16
,,061_DEFENSE_VICEWAVE_AUD_F_v02.mov,2,,2,100,061,001,AUD_F,10s,,-,,,,7/22/2020 13:23:19,100_MIA_PCC,06_DEFENSE_VICEWAVE,\100_MIA_PCC\06_DEFENSE_VICEWAVE\061_DEFENSE_VICEWAVE_AUD_F_v02.mov,-,nclc,nclc,10010,918637906,10160,1600,6.350,CFR,29.970,1152866307,PCM,Little / Signed,sowt,10010,2,L R,48000,16
,,064_DEFENSE_VICEWAVE_RIB_F_v01.mov,1,,1,100,064,010,RIB_F,10s,,-,,,,,100_MIA_PCC,06_DEFENSE_VICEWAVE,\100_MIA_PCC\06_DEFENSE_VICEWAVE\064_DEFENSE_VICEWAVE_RIB_F_v01.mov,-,nclc,nclc,10010,49961132,9504,144,66.000,CFR,29.970,64875159,PCM,Little / Signed,sowt,10010,2,L R,44100,16
,,068_DEFENSE_VICEWAVE_SCB_v01.mov,1,,1,100,068,017,SCB,,,-,,,,7/22/2020 13:22:59,100_MIA_PCC,06_DEFENSE_VICEWAVE,Skip,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
