PORTLAND TRAILBLAZERS Media Delivery,,SYNC COMPLETE,CONTENT ERRORS,,FUSE PROGRAMMER,,,PROGRAMMING IN PROGRESS,,,HUD,,,,RETURN TO INDEX,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,LOOK IDENTIFIER #,File Name,File Version,Notes,Version,Bank,Slot ,Mapping #,"Mapping 
Code",File Length,Play Mode,Error Flag,Midi Button,Notes to Kerstin,General/Show Call Notes,Upversioned Date,Folder,Look,File Path,Error Flag,Format,Codec_ID,Duration,Bit Rate,Width,Height,Aspect Ratio,Frame Rate Mode,Frame Rate,Stream Size,"Audio For,at",Audio Format/Settings,Audio Codec ID,Audio Duration,Audio Channels,Audio Channel Layout,Audio Sampling Rate,Audio Bit Depth
,,064_3J_RIB_F_v01.mov,1,,1,170,064,010,RIB_F,10s,,-,23,,,,170_POR_PCC,06_3J,\170_POR_PCC\06_3J\064_3J_RIB_F_v01.mov,-,nclc,nclc,10010,277226589,9504,144,66.000,CFR,29.970,347475120,-,-,-,-,-,-,-,-
,07_BigZ,070_BigZ_AUDIO_v01.mov,1,,1,170,070,024,AUDIO,3s,,-,,,,,170_POR_PCC,07_BigZ,\170_POR_PCC\07_BigZ\070_BigZ_AUDIO_v01.mov,-,nclc,nclc,3003,70729,16,16,1.000,CFR,29.970,638236,PCM,Little / Signed,sowt,3003,2,L R,48000,16
,,071_BigZ_AUD_F_v01.mov,1,,1,170,071,001,AUD_F,10s,,-,,,,,170_POR_PCC,07_BigZ,\170_POR_PCC\07_BigZ\071_BigZ_AUD_F_v01.mov,-,nclc,nclc,10010,3378535307,10160,1600,6.350,CFR,29.970,4228014684,-,-,-,-,-,-,-,-
,,074_BigZ_RIB_F_v01.mov,1,,1,170,074,010,RIB_F,10s,,-,,,,,170_POR_PCC,07_BigZ,\170_POR_PCC\07_BigZ\074_BigZ_RIB_F_v01.mov,-,nclc,nclc,10010,271506204,9504,144,66.000,CFR,29.970,340319999,-,-,-,-,-,-,-,-
,08_Downtown,081_Downtown_AUD_F_v01.mov,1,,1,170,081,001,AUD_F,10s,,-,43,,,,170_POR_PCC,08_Downtown,\170_POR_PCC\08_Downtown\081_Downtown_AUD_F_v01.mov,-,nclc,nclc,10010,3574773130,10160,1600,6.350,CFR,29.970,4473657248,-,-,-,-,-,-,-,-
,,084_Downtown_RIB_F_v01.mov,1,,1,170,084,010,RIB_F,10s,,-,43,,,,170_POR_PCC,08_Downtown,\170_POR_PCC\08_Downtown\084_Downtown_RIB_F_v01.mov,-,nclc,nclc,10010,276704643,9504,144,66.000,CFR,29.970,346921921,-,-,-,-,-,-,-,-
,09_AntMan,091_AntMan_AUD_F_v01.mov,1,,1,170,091,001,AUD_F,10s,,-,26,,,,170_POR_PCC,09_AntMan,\170_POR_PCC\09_AntMan\091_AntMan_AUD_F_v01.mov,-,nclc,nclc,10010,3376704810,10160,1600,6.350,CFR,29.970,4225734254,-,-,-,-,-,-,-,-
,,094_AntMan_RIB_F_v01.mov,1,,1,170,094,010,RIB_F,10s,,-,26,,,,170_POR_PCC,09_AntMan,\170_POR_PCC\09_AntMan\094_AntMan_RIB_F_v01.mov,-,nclc,nclc,10010,284728582,9504,144,66.000,CFR,29.970,356880857,-,-,-,-,-,-,-,-
,10_SlamDunk,101_SlamDunk_AUD_F_v01.mov,1,,1,170,101,001,AUD_F,10s,,-,41,,,,170_POR_PCC,10_SlamDunk,\170_POR_PCC\10_SlamDunk\101_SlamDunk_AUD_F_v01.mov,-,nclc,nclc,10010,3898590591,10160,1600,6.350,CFR,29.970,4878801061,-,-,-,-,-,-,-,-
,,104_SlamDunk_RIB_F_v01.mov,1,,1,170,104,010,RIB_F,10s,,-,41,,,,170_POR_PCC,10_SlamDunk,\170_POR_PCC\10_SlamDunk\104_SlamDunk_RIB_F_v01.mov,-,nclc,nclc,10010,326908307,9504,144,66.000,CFR,29.970,409743700,-,-,-,-,-,-,-,-
