OKLAHOMA CITY THUNDER Media Delivery,,SYNC ACTIVE,CONTENT ERRORS,,FUSE PROGRAMMER,,,PROGRAMMING IN PROGRESS,,,HUD,,,,RETURN TO INDEX,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,LOOK IDENTIFIER #,File Name,File Version, Content Notes,Version,Bank,Slot ,Mapping #,"Mapping 
Code",File Length,Play Mode,Error Flag,Midi Button,Kerstin Notes,General/Show Call Notes,Upversioned Date,Folder,Look,File Path,Error Flag,Format,Codec_ID,Duration,Bit Rate,Width,Height,Aspect Ratio,Frame Rate Mode,Frame Rate,Stream Size,"Audio For,at",Audio Format/Settings,Audio Codec ID,Audio Duration,Audio Channels,Audio Channel Layout,Audio Sampling Rate,Audio Bit Depth
,,218_LGT_Grunge_SCB_v01.mov,1,,1,130,218,017,SCB,3.97s,,-,37,,,,130_OKC_PCC,21_LGT_Grunge,\130_OKC_PCC\21_LGT_Grunge\218_LGT_Grunge_SCB_v01.mov,-,nclc,nclc,3971,487991843,1920,1080,1.778,CFR,29.970,243166405,PCM,Little / Signed,sowt,3971,2,L R,44100,16
,22_OKC_Clouds,220_OKC_Clouds_AUDIO_v01.mov,1,Wrong Audio Sample Rate -CD,1,130,220,024,AUDIO,1.97s,,-A,26,,Prompt ,,130_OKC_PCC,22_OKC_Clouds,\130_OKC_PCC\22_OKC_Clouds\220_OKC_Clouds_AUDIO_v01.mov,-A,nclc,nclc,1969,73021,16,16,1.000,CFR,29.970,391703,PCM,Little / Signed,sowt,1969,2,L R,44100,16
,,221_OKC_Clouds_AUD_F_v01.mov,1,,1,130,221,001,AUD_F,1.97s,,-,26,,,,130_OKC_PCC,22_OKC_Clouds,\130_OKC_PCC\22_OKC_Clouds\221_OKC_Clouds_AUD_F_v01.mov,-,nclc,nclc,1969,2192054914,10160,1600,6.350,CFR,29.970,539792952,PCM,Little / Signed,sowt,1969,2,L R,44100,16
,,224_OKC_Clouds_RIB_F_v02.mov,1,,1,130,224,010,RIB_F,29.47s,,-,26,,,,130_OKC_PCC,22_OKC_Clouds,\130_OKC_PCC\22_OKC_Clouds\224_OKC_Clouds_RIB_F_v02.mov,-,nclc,nclc,29497,251477367,9504,144,66.000,CFR,29.970,932465426,PCM,Little / Signed,sowt,29497,2,L R,44100,16
,,228_OKC_Clouds_SCB_v01.mov,1,,1,130,228,017,SCB,1.97s,,-,26,,,,130_OKC_PCC,22_OKC_Clouds,\130_OKC_PCC\22_OKC_Clouds\228_OKC_Clouds_SCB_v01.mov,-,nclc,nclc,1969,401309455,1920,1080,1.778,CFR,29.970,99127359,PCM,Little / Signed,sowt,1969,2,L R,44100,16
,23_Defense_Metal,230_Defense_Metal_AUDIO_v01.mov,1,Wrong Audio Sample Rate -CD,1,130,230,024,AUDIO,4.03s,,-A,48,,,,130_OKC_PCC,23_Defense_Metal,\130_OKC_PCC\23_Defense_Metal\230_Defense_Metal_AUDIO_v01.mov,-A,nclc,nclc,4038,18941,16,16,1.000,CFR,29.970,750829,PCM,Little / Signed,sowt,4038,2,L R,44100,16
,,231_Defense_Metal_AUD_F_v01.mov,1,,1,130,231,001,AUD_F,4.03s,,-,48,,,,130_OKC_PCC,23_Defense_Metal,\130_OKC_PCC\23_Defense_Metal\231_Defense_Metal_AUD_F_v01.mov,-,nclc,nclc,4038,2165119639,10160,1600,6.350,CFR,29.970,1093414727,PCM,Little / Signed,sowt,4038,2,L R,44100,16
,,234_Defense_Metal_RIB_F_v02.mov,1,,1,130,234,010,RIB_F,4.03s,,-,48,,,,130_OKC_PCC,23_Defense_Metal,\130_OKC_PCC\23_Defense_Metal\234_Defense_Metal_RIB_F_v02.mov,-,nclc,nclc,4038,152830106,9504,144,66.000,CFR,29.970,77869866,PCM,Little / Signed,sowt,4038,2,L R,44100,16
,,238_Defense_Metal_SCB_v01.mov,1,,1,130,238,017,SCB,4.03s,,-,48,,,,130_OKC_PCC,23_Defense_Metal,\130_OKC_PCC\23_Defense_Metal\238_Defense_Metal_SCB_v01.mov,-,nclc,nclc,4038,335281797,1920,1080,1.778,CFR,29.970,169948013,PCM,Little / Signed,sowt,4038,2,L R,44100,16
131_OKC_FERA,01_Anthem,011_Anthem_AUD_F_v01.mov,1,,1,131,011,001,AUD_F,57s,,-,,,,,131_OKC_FERA,01_Anthem,\131_OKC_FERA\01_Anthem\011_Anthem_AUD_F_v01.mov,-,nclc,nclc,57057,1826738540,10160,1600,6.350,CFR,29.970,13038843806,PCM,Little / Signed,sowt,57057,2,L R,44100,16
,,014_Anthem_RIB_F_v01.mov,1,,1,131,014,010,RIB_F,57s,,-,,,,,131_OKC_FERA,01_Anthem,\131_OKC_FERA\01_Anthem\014_Anthem_RIB_F_v01.mov,-,nclc,nclc,57057,216044721,9504,144,66.000,CFR,29.970,1551164830,PCM,Little / Signed,sowt,57057,2,L R,44100,16
,02_Boom,021_Boom_AUD_F_v01.mov,,,,131,021,001,AUD_F,5.97s,,-,29,,,,131_OKC_FERA,02_Boom,\131_OKC_FERA\02_Boom\021_Boom_AUD_F_v01.mov,-,nclc,nclc,5973,2672509759,10160,1600,6.350,CFR,29.970,1997054686,PCM,Little / Signed,sowt,5973,2,L R,44100,16
,03_SeeThat,031_SeeThat_AUD_F_v01.mov,,,,131,031,001,AUD_F,5.97s,,-,30,,,,131_OKC_FERA,03_SeeThat,\131_OKC_FERA\03_SeeThat\031_SeeThat_AUD_F_v01.mov,-,nclc,nclc,5973,2833201937,10160,1600,6.350,CFR,29.970,2117024238,PCM,Little / Signed,sowt,5973,2,L R,44100,16
,04_ThunderUP,041_Thunderup_AUD_F_v01.mov,,,,131,041,001,AUD_F,5.97s,,-,32,,,,131_OKC_FERA,04_ThunderUP,\131_OKC_FERA\04_ThunderUP\041_Thunderup_AUD_F_v01.mov,-,nclc,nclc,5973,2812238289,10160,1600,6.350,CFR,29.970,2101373200,PCM,Little / Signed,sowt,5973,2,L R,44100,16
,05_WOW,051_WOW_AUD_F_v01.mov,,,,131,051,001,AUD_F,5.97s,,-,32,,,,131_OKC_FERA,05_WOW,\131_OKC_FERA\05_WOW\051_WOW_AUD_F_v01.mov,-,nclc,nclc,5973,2896049707,10160,1600,6.350,CFR,29.970,2163945121,PCM,Little / Signed,sowt,5973,2,L R,44100,16
,,060_AnthemFields_AUDIO_v01.mov,,,,131,060,024,AUDIO,,,-F,,,,,131_OKC_FERA,05_WOW,\131_OKC_FERA\05_WOW\060_AnthemFields_AUDIO_v01.mov,-F,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File
,,068_AnthemFields_SCB_v01.mov,,,,131,068,017,SCB,,,-F,,,,,131_OKC_FERA,05_WOW,\131_OKC_FERA\05_WOW\068_AnthemFields_SCB_v01.mov,-F,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File
,07_AnthemClay,,,,,,,,,,,-,,Missing in spreadsheet,,,131_OKC_FERA,07_AnthemClay,Skip,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,08_Anthem_Fuzed,080_AnthemFuzed_AUDIO_v01.mov,,,,131,080,024,AUDIO,1m33.37s,,-,,,,,131_OKC_FERA,08_Anthem_Fuzed,\131_OKC_FERA\08_Anthem_Fuzed\080_AnthemFuzed_AUDIO_v01.mov,-,nclc,nclc,93461,76921,16,16,1.000,CFR,29.970,19100519,PCM,Little / Signed,sowt,93461,2,L R,48000,16
,,088_AnthemFuzed_SCB_v01.mov,,,,131,088,017,SCB,1m33.37s,,-,,,,,131_OKC_FERA,08_Anthem_Fuzed,\131_OKC_FERA\08_Anthem_Fuzed\088_AnthemFuzed_SCB_v01.mov,-,nclc,nclc,93461,417483242,1920,1080,1.778,CFR,29.970,4895456479,PCM,Little / Signed,sowt,93461,2,L R,48000,16
,09_Anthem_Dedmon,090_AnthemDedmon_AUDIO_v01.mp4,,"REJECTED, wrong codec -kh",,131,090,024,AUDIO,,,-F,,,,,131_OKC_FERA,09_Anthem_Dedmon,\131_OKC_FERA\09_Anthem_Dedmon\090_AnthemDedmon_AUDIO_v01.mp4,-F,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File
,,098_AnthemDedmon_SCB_v01.mov,,,,131,098,017,SCB,1m41.9s,,-,,,,,131_OKC_FERA,09_Anthem_Dedmon,\131_OKC_FERA\09_Anthem_Dedmon\098_AnthemDedmon_SCB_v01.mov,-,nclc,nclc,102002,379841295,1920,1080,1.778,CFR,29.970,4862958008,PCM,Little / Signed,sowt,102002,2,L R,48000,16
,10_TurnUp,101_TurnUp_AUD_F_v01.mov,,,,131,101,001,AUD_F,8s,,-,33,,,,131_OKC_FERA,10_TurnUp,\131_OKC_FERA\10_TurnUp\101_TurnUp_AUD_F_v01.mov,-,nclc,nclc,8008,2803128566,10160,1600,6.350,CFR,29.970,2807381029,PCM,Little / Signed,sowt,8008,2,L R,44100,16
,,,,,,,,,,,,-,,,,,131_OKC_FERA,10_TurnUp,Skip,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
132_OKC_Image_1,01_OKC_CITY_STILL,011_OKC City_STILL_AUD_F_v01.mov,1,,1,132,011,001,AUD_F,0.03s,,-,50,,Generic Any time they wear the city jereseys - last 3 home game - FT's etc ,,132_OKC_Image_1,01_OKC_CITY_STILL,\132_OKC_Image_1\01_OKC_CITY_STILL\011_OKC City_STILL_AUD_F_v01.mov,-,nclc,nclc,34,147945826,10160,1600,6.350,CFR,29.970,721178,PCM,Little / Signed,sowt,34,2,L R,44100,16
,,014_OKC City_STILL_RIB_F_v01.mov,1,,1,132,014,010,RIB_F,0.03s,,-,50,,,,132_OKC_Image_1,01_OKC_CITY_STILL,\132_OKC_Image_1\01_OKC_CITY_STILL\014_OKC City_STILL_RIB_F_v01.mov,-,nclc,nclc,34,28979072,9504,144,66.000,CFR,29.970,270967,PCM,Little / Signed,sowt,34,2,L R,44100,16
,,018_OKC City_STILL_SCB_v01.mov,1,,1,132,018,017,SCB,0.03s,,-,50,,,,132_OKC_Image_1,01_OKC_CITY_STILL,\132_OKC_Image_1\01_OKC_CITY_STILL\018_OKC City_STILL_SCB_v01.mov,-,nclc,nclc,34,108156216,1920,1080,1.778,CFR,29.970,521870,PCM,Little / Signed,sowt,34,2,L R,44100,16
,02_OKC_SUNSET_STILL,021_OKC Sunset_STILL_AUD_F_v01.mov,1,,1,132,021,001,AUD_F,0.03s,,-,,,Generic for most ,,132_OKC_Image_1,02_OKC_SUNSET_STILL,\132_OKC_Image_1\02_OKC_SUNSET_STILL\021_OKC Sunset_STILL_AUD_F_v01.mov,-,nclc,nclc,34,863277698,10160,1600,6.350,CFR,29.970,3701579,PCM,Little / Signed,sowt,34,2,L R,44100,16
,,024_OKC Sunset_STILL_RIB_F_v01.mov,1,Content doesn't fit ribbons -CD,1,132,024,010,RIB_F,0.03s,,-,,,,,132_OKC_Image_1,02_OKC_SUNSET_STILL,\132_OKC_Image_1\02_OKC_SUNSET_STILL\024_OKC Sunset_STILL_RIB_F_v01.mov,-,nclc,nclc,34,29722088,9504,144,66.000,CFR,29.970,249046,PCM,Little / Signed,sowt,34,2,L R,44100,16
,,028_OKC Sunset_STILL_SCB_v01.mov,1,,1,132,028,017,SCB,0.03s,,-,,,,,132_OKC_Image_1,02_OKC_SUNSET_STILL,\132_OKC_Image_1\02_OKC_SUNSET_STILL\028_OKC Sunset_STILL_SCB_v01.mov,-,nclc,nclc,34,177003060,1920,1080,1.778,CFR,29.970,811547,PCM,Little / Signed,sowt,34,2,L R,44100,16
133_OKC_Image_2,,,,,,,,,,,,-,,,,,133_OKC_Image_2,02_OKC_SUNSET_STILL,Skip,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
134_OKC_Video,01_HYPE,010_OKCHype_AUDIO_v02.mov,2,,1,134,010,024,AUDIO,2m25.3s,,-,,,2:16 on the countdown - ,7/19/2020 8:31:40,134_OKC_Video,01_HYPE,\134_OKC_Video\01_HYPE\010_OKCHype_AUDIO_v02.mov,-,nclc,nclc,145446,74753,16,16,1.000,CFR,29.970,30308056,PCM,Little / Signed,sowt,145446,2,L R,48000,16
,,011_OKCHype_AUD_F_v01.mov,1,,1,134,011,001,AUD_F,2m29.87s,,-,,,,,134_OKC_Video,01_HYPE,\134_OKC_Video\01_HYPE\011_OKCHype_AUD_F_v01.mov,-,nclc,nclc,150017,920612886,10160,1600,6.350,CFR,29.970,17295598865,PCM,Little / Signed,sowt,150017,2,L R,44100,16
,,014_OKCHype_RIB_F_v02.mov,2,,,134,014,010,RIB_F,2m29.87s,,-,,,,7/19/2020 8:31:31,134_OKC_Video,01_HYPE,\134_OKC_Video\01_HYPE\014_OKCHype_RIB_F_v02.mov,-,nclc,nclc,150017,157127117,9504,144,66.000,CFR,29.970,2973924073,PCM,Little / Signed,sowt,150017,2,L R,44100,16
,,018_OKCHype_SCB_v01.mov,1,,,134,018,017,SCB,2m25.3s,,-,,,,7/19/2020 8:31:30,134_OKC_Video,01_HYPE,\134_OKC_Video\01_HYPE\018_OKCHype_SCB_v01.mov,-,nclc,nclc,145446,374824841,1920,1080,1.778,CFR,29.970,6840429209,PCM,Little / Signed,sowt,145446,2,L R,44100,16
,03_4QTR_HYPE,030_4thQTRHype_AUDIO_v01.mov,1,These files are different TRTs,1,134,030,024,AUDIO,1m10.33s,,-A,,,3rd Quarter break - Start to end with 30 left on clock. Thunderstruck plays after ,,134_OKC_Video,03_4QTR_HYPE,\134_OKC_Video\03_4QTR_HYPE\030_4thQTRHype_AUDIO_v01.mov,-A,nclc,nclc,70404,76807,16,16,1.000,CFR,29.970,14174703,PCM,Little / Signed,sowt,70404,2,L R,44100,16
,,031_4thQTRHype_AUD_F_v01.mov,1,These files are different TRTs,1,134,031,001,AUD_F,47.7s,,-,,,,,134_OKC_Video,03_4QTR_HYPE,\134_OKC_Video\03_4QTR_HYPE\031_4thQTRHype_AUD_F_v01.mov,-,nclc,nclc,47748,3016447813,10160,1600,6.350,CFR,29.970,18012803061,PCM,Little / Signed,sowt,47748,2,L R,44100,16
,,034_4thQTRHype_RIB_F_v01.mov,1,These files are different TRTs,1,134,034,010,RIB_F,47.7s,,-,,,,,134_OKC_Video,03_4QTR_HYPE,\134_OKC_Video\03_4QTR_HYPE\034_4thQTRHype_RIB_F_v01.mov,-,nclc,nclc,47748,232402651,9504,144,66.000,CFR,29.970,1396098002,PCM,Little / Signed,sowt,47748,2,L R,44100,16
,,038_4thQTRHype_SCB_v01.mov,,These files are different TRTs,,134,038,017,SCB,1m10.33s,,-,,,,,134_OKC_Video,03_4QTR_HYPE,\134_OKC_Video\03_4QTR_HYPE\038_4thQTRHype_SCB_v01.mov,-,nclc,nclc,70404,431448816,1920,1080,1.778,CFR,29.970,3797993045,-,-,-,-,-,-,-,-
,04_RUMBLE_DRUM,040_OKCRumbleDrum_AUDIO_v01.mov,1,,1,134,040,024,AUDIO,1m5.13s,,-A,,,,,134_OKC_Video,04_RUMBLE_DRUM,\134_OKC_Video\04_RUMBLE_DRUM\040_OKCRumbleDrum_AUDIO_v01.mov,-A,nclc,nclc,65199,76903,16,16,1.000,CFR,29.970,12287205,PCM,Little / Signed,sowt,65199,2,L R,44100,16
,,041_OKCRumbleDrum_AUD_F_v02.mov,2,,1,134,041,001,AUD_F,1m5.1s,,-,,,,7/19/2020 8:32:06,134_OKC_Video,04_RUMBLE_DRUM,\134_OKC_Video\04_RUMBLE_DRUM\041_OKCRumbleDrum_AUD_F_v02.mov,-,nclc,nclc,65166,2875850268,10160,1600,6.350,CFR,29.970,23437980467,PCM,Little / Signed,sowt,65166,2,L R,44100,16
,,044_OKCRumbleDrum_RIB_F_v01.mov,1,,1,134,044,010,RIB_F,1m5.1s,,-,,,,,134_OKC_Video,04_RUMBLE_DRUM,\134_OKC_Video\04_RUMBLE_DRUM\044_OKCRumbleDrum_RIB_F_v01.mov,-,nclc,nclc,65166,223285999,9504,144,66.000,CFR,29.970,1830912536,PCM,Little / Signed,sowt,65166,2,L R,44100,16
,,048_OKCRumbleDrum_SCB_v01.mov,1,,1,134,048,017,SCB,1m5.13s,,-,,,,,134_OKC_Video,04_RUMBLE_DRUM,\134_OKC_Video\04_RUMBLE_DRUM\048_OKCRumbleDrum_SCB_v01.mov,-,nclc,nclc,65199,511297662,1920,1080,1.778,CFR,29.970,4167106487,-,-,-,-,-,-,-,-
135_OKC_Misc,00_UTH_SAVER,008_OKCvUTH_SCB_v01.mov,1,this file contains OKC vs WAS -CD,1,135,008,017,SCB,,,-F,18,,Match Up Saver w/ Generic Look ,,135_OKC_Misc,00_UTH_SAVER,\135_OKC_Misc\00_UTH_SAVER\008_OKCvUTH_SCB_v01.mov,-F,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File
,01_DEN_SAVER,018_OKCvDEN_SCB_v01.mov,1,,1,135,018,017,SCB,,,-F,,,,,135_OKC_Misc,01_DEN_SAVER,\135_OKC_Misc\01_DEN_SAVER\018_OKCvDEN_SCB_v01.mov,-F,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File
,02_WAS_SAVER,028_OKCvWAS_SCB v01.mov,1,,1,135,028,017,SCB,20s,,-,,,,,135_OKC_Misc,02_WAS_SAVER,\135_OKC_Misc\02_WAS_SAVER\028_OKCvWAS_SCB v01.mov,-,nclc,nclc,20020,292854323,1920,1080,1.778,CFR,29.970,741057285,PCM,Little / Signed,sowt,20020,2,L R,44100,16
,03_MIA_SAVER,038_OKCvMIA_SCB v01.mov,1,,1,135,038,017,SCB,20s,,-,,,,,135_OKC_Misc,03_MIA_SAVER,\135_OKC_Misc\03_MIA_SAVER\038_OKCvMIA_SCB v01.mov,-,nclc,nclc,20020,333588938,1920,1080,1.778,CFR,29.970,842901647,PCM,Little / Signed,sowt,20020,2,L R,44100,16
,04_OKC_CITY,041_OKC_City_AUD_F_v01.mov,1,,1,135,041,001,AUD_F,10s,,-,,,Generic - Again based on jeresey ,,135_OKC_Misc,04_OKC_CITY,\135_OKC_Misc\04_OKC_CITY\041_OKC_City_AUD_F_v01.mov,-,nclc,nclc,10010,832903639,10160,1600,6.350,CFR,29.970,1044033530,PCM,Little / Signed,sowt,10010,2,L R,44100,16
,,044_OKC_City_RIB_F_v01.mov,1,,1,135,044,010,RIB_F,10s,,-,,,,,135_OKC_Misc,04_OKC_CITY,\135_OKC_Misc\04_OKC_CITY\044_OKC_City_RIB_F_v01.mov,-,nclc,nclc,10010,52525984,9504,144,66.000,CFR,29.970,67645383,PCM,Little / Signed,sowt,10010,2,L R,44100,16
,,048_OKC_City_SCB_V01.mov,1,,1,135,048,017,SCB,30s,,-,,,,,135_OKC_Misc,04_OKC_CITY,\135_OKC_Misc\04_OKC_CITY\048_OKC_City_SCB_V01.mov,-,nclc,nclc,30030,80539936,1920,1080,1.778,CFR,29.970,307723440,PCM,Little / Signed,sowt,30030,2,L R,44100,16
,05_OKC_Sunset,051_OKC_Sunset_AUD_F_v01.mov,1,,1,135,051,001,AUD_F,10s,,-,,,Generic - Again based on jeresey ,,135_OKC_Misc,05_OKC_Sunset,\135_OKC_Misc\05_OKC_Sunset\051_OKC_Sunset_AUD_F_v01.mov,-,nclc,nclc,10010,1357666805,10160,1600,6.350,CFR,29.970,1700646639,PCM,Little / Signed,sowt,10010,2,L R,44100,16
,,054_OKC_Sunset_RIB_F_v01.mov,1,,1,135,054,010,RIB_F,10s,,-,,,,,135_OKC_Misc,05_OKC_Sunset,\135_OKC_Misc\05_OKC_Sunset\054_OKC_Sunset_RIB_F_v01.mov,-,nclc,nclc,10010,125860589,9504,144,66.000,CFR,29.970,159361144,PCM,Little / Signed,sowt,10010,2,L R,44100,16
,,058_OKC_Sunset_SCB_V01.mov,1,,1,135,058,017,SCB,20s,,-,,,,,135_OKC_Misc,05_OKC_Sunset,\135_OKC_Misc\05_OKC_Sunset\058_OKC_Sunset_SCB_V01.mov,-,nclc,nclc,20020,169384643,1920,1080,1.778,CFR,29.970,427508165,PCM,Little / Signed,sowt,20020,2,L R,44100,16
,,,,,,,,,,,,-,,,,,135_OKC_Misc,05_OKC_Sunset,Skip,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,-,,,,,135_OKC_Misc,05_OKC_Sunset,Skip,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
136_OKC_Intros_1,00_ADAMS,001_Adams_intro1_AUD_F_v01.mov,1,"Bad frames, having trouble playing back -CD",1,136,001,001,AUD_F,7.97s,,-,9,,For Intros - Normal Jeresey ,,136_OKC_Intros_1,00_ADAMS,\136_OKC_Intros_1\00_ADAMS\001_Adams_intro1_AUD_F_v01.mov,-,nclc,nclc,7975,2290227355,10160,1600,6.350,CFR,29.970,2284488635,PCM,Little / Signed,sowt,7975,2,L R,44100,16
,,004_Adams_intro1_RIB_F_v01.mov,1,"Bad frames, having trouble playing back -CD",1,136,004,010,RIB_F,7.97s,,-,9,,,,136_OKC_Intros_1,00_ADAMS,\136_OKC_Intros_1\00_ADAMS\004_Adams_intro1_RIB_F_v01.mov,-,nclc,nclc,7975,272380772,9504,144,66.000,CFR,29.970,167765241,PCM,Little / Signed,sowt,7975,2,L R,44100,16
,,008_Adams_intro1_SCB_v01.mov,1,"Bad frames, having trouble playing back -CD",1,136,008,017,SCB,7.97s,,-,9,,,,136_OKC_Intros_1,00_ADAMS,\136_OKC_Intros_1\00_ADAMS\008_Adams_intro1_SCB_v01.mov,-,nclc,nclc,7975,490340198,1920,1080,1.778,CFR,29.970,491034228,PCM,Little / Signed,sowt,7975,2,L R,44100,16
,01_BAZLEY,011_Bazley_Intro1_AUD_F_v01.mov,1,,1,136,011,001,AUD_F,7.97s,,-,7,,,,136_OKC_Intros_1,01_BAZLEY,\136_OKC_Intros_1\01_BAZLEY\011_Bazley_Intro1_AUD_F_v01.mov,-,nclc,nclc,7975,2262862687,10160,1600,6.350,CFR,29.970,2257219586,PCM,Little / Signed,sowt,7975,2,L R,44100,16
,,014_Bazley_Intro1_RIB_F_v01.mov,1,,1,136,014,010,RIB_F,7.97s,,-,7,,,,136_OKC_Intros_1,01_BAZLEY,\136_OKC_Intros_1\01_BAZLEY\014_Bazley_Intro1_RIB_F_v01.mov,-,nclc,nclc,7975,272336281,9504,144,66.000,CFR,29.970,272977452,PCM,Little / Signed,sowt,7975,2,L R,44100,16
,,018_Bazley_Intro1_SCB_v01.mov,1,,1,136,018,017,SCB,7.97s,,-,7,,,,136_OKC_Intros_1,01_BAZLEY,\136_OKC_Intros_1\01_BAZLEY\018_Bazley_Intro1_SCB_v01.mov,-,nclc,nclc,7975,495792046,1920,1080,1.778,CFR,29.970,496710666,PCM,Little / Signed,sowt,7975,2,L R,44100,16
,02_BURTON,021_Burton_Intro1_AUD_F_v01.mov,1,,1,136,021,001,AUD_F,7.97s,,-,15,,,,136_OKC_Intros_1,02_BURTON,\136_OKC_Intros_1\02_BURTON\021_Burton_Intro1_AUD_F_v01.mov,-,nclc,nclc,7975,2243284549,10160,1600,6.350,CFR,29.970,2237706450,PCM,Little / Signed,sowt,7975,2,L R,44100,16
,,024_Burton_Intro1_RIB_F_v01.mov,1,,1,136,024,010,RIB_F,7.97s,,-,15,,,,136_OKC_Intros_1,02_BURTON,\136_OKC_Intros_1\02_BURTON\024_Burton_Intro1_RIB_F_v01.mov,-,nclc,nclc,7975,270275524,9504,144,66.000,CFR,29.970,270922795,PCM,Little / Signed,sowt,7975,2,L R,44100,16
,,028_Burton_ntro1_SCB v01.mov,1,,1,136,028,017,SCB,7.97s,,-,15,,,,136_OKC_Intros_1,02_BURTON,\136_OKC_Intros_1\02_BURTON\028_Burton_ntro1_SCB v01.mov,-,nclc,nclc,7975,500342378,1920,1080,1.778,CFR,29.970,501510838,PCM,Little / Signed,sowt,7975,2,L R,44100,16
,03_DIALLO,031_Diallo_Intro1_AUD_F_v01.mov,1,,1,136,031,001,AUD_F,7.97s,,-,4,,,,136_OKC_Intros_1,03_DIALLO,\136_OKC_Intros_1\03_DIALLO\031_Diallo_Intro1_AUD_F_v01.mov,-,nclc,nclc,7975,2277018614,10160,1600,6.350,CFR,29.970,2271333585,PCM,Little / Signed,sowt,7975,2,L R,44100,16
,,034_Diallo_Intro1_RIB_F_v01.mov,1,,1,136,034,010,RIB_F,7.97s,,-,4,,,,136_OKC_Intros_1,03_DIALLO,\136_OKC_Intros_1\03_DIALLO\034_Diallo_Intro1_RIB_F_v01.mov,-,nclc,nclc,7975,273560323,9504,144,66.000,CFR,29.970,274197170,PCM,Little / Signed,sowt,7975,2,L R,44100,16
,,038_Diallo_Intro1_SCB_v01.mov,1,,1,136,038,017,SCB,7.97s,,-,4,,,,136_OKC_Intros_1,03_DIALLO,\136_OKC_Intros_1\03_DIALLO\038_Diallo_Intro1_SCB_v01.mov,-,nclc,nclc,7975,491427727,1920,1080,1.778,CFR,29.970,492903589,PCM,Little / Signed,sowt,7975,2,L R,44100,16
,04_DORT,041_Dort_Intro1_AUD_F_v01.mov,1,,1,136,041,001,AUD_F,7.97s,,-,3,,,,136_OKC_Intros_1,04_DORT,\136_OKC_Intros_1\04_DORT\041_Dort_Intro1_AUD_F_v01.mov,-,nclc,nclc,7975,2282556381,10160,1600,6.350,CFR,29.970,2276856770,PCM,Little / Signed,sowt,7975,2,L R,44100,16
,,044_Dort_Intro1_RIB_F_v01.mov,1,,1,136,044,010,RIB_F,7.97s,,-,3,,,,136_OKC_Intros_1,04_DORT,\136_OKC_Intros_1\04_DORT\044_Dort_Intro1_RIB_F_v01.mov,-,nclc,nclc,7975,278876030,9504,144,66.000,CFR,29.970,279496023,PCM,Little / Signed,sowt,7975,2,L R,44100,16
,,048_Dort_Intro1_SCB_v01.mov,1,,1,136,048,017,SCB,7.97s,,-,3,,,,136_OKC_Intros_1,04_DORT,\136_OKC_Intros_1\04_DORT\048_Dort_Intro1_SCB_v01.mov,-,nclc,nclc,7975,479480625,1920,1080,1.778,CFR,29.970,481398232,PCM,Little / Signed,sowt,7975,2,L R,44100,16
,05_FERGUSON,051_Ferguson_Intro1_AUD_F_v01.mov,1,,1,136,051,001,AUD_F,7.97s,,-,14,,,,136_OKC_Intros_1,05_FERGUSON,\136_OKC_Intros_1\05_FERGUSON\051_Ferguson_Intro1_AUD_F_v01.mov,-,nclc,nclc,7975,2582813896,10160,1600,6.350,CFR,29.970,2576191454,PCM,Little / Signed,sowt,7975,2,L R,44100,16
,,054_Ferguson_Intro1_RIB_F_v01.mov,1,,1,136,054,010,RIB_F,,,-F,14,,,,136_OKC_Intros_1,05_FERGUSON,\136_OKC_Intros_1\05_FERGUSON\054_Ferguson_Intro1_RIB_F_v01.mov,-F,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File
,,058_Ferguson_Intro1_SCB_v01.mov,1,,1,136,058,017,SCB,,,-F,14,,,,136_OKC_Intros_1,05_FERGUSON,\136_OKC_Intros_1\05_FERGUSON\058_Ferguson_Intro1_SCB_v01.mov,-F,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File
,06_GALLINARI,061_Gallinari_Intro1_AUD_F_v01.mov,1,,1,136,061,001,AUD_F,7.97s,,-,8,,,,136_OKC_Intros_1,06_GALLINARI,\136_OKC_Intros_1\06_GALLINARI\061_Gallinari_Intro1_AUD_F_v01.mov,-,nclc,nclc,7975,2565737778,10160,1600,6.350,CFR,29.970,2559169519,PCM,Little / Signed,sowt,7975,2,L R,44100,16
