LA CLIPPERS Media Delivery,,SYNC ACTIVE,CONTENT ERRORS,,FUSE PROGRAMMER,,,PROGRAMMING IN PROGRESS,,,HUD,,,,RETURN TO INDEX,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,LOOK IDENTIFIER #,File Name,File Version,Content Notes,Version,Bank,Slot ,Mapping #,"Mapping 
Code",File Length,Play Mode,Error Flag,Midi Button,Kerstin Notes,General/Show Call Notes,Upversioned Date,Folder,Look,File Path,Error Flag,Format,Codec_ID,Duration,Bit Rate,Width,Height,Aspect Ratio,Frame Rate Mode,Frame Rate,Stream Size,Audio Format,Audio Format/Settings,Audio Codec ID,Audio Duration,Audio Channels,Audio Channel Layout,Audio Sampling Rate,Audio Bit Depth
,,058_Threeee_SCB_v00.mov,0,,0,070,058,017,SCB,10s,,-,,,,,070_LAC_PCC,05_Threee,\070_LAC_PCC\05_Threee\058_Threeee_SCB_v00.mov,-,nclc,nclc,10010,568552720,1920,1080,1.778,CFR,29.970,711405378,-,-,-,-,-,-,-,-
,06_ClippersWin,061_ClippersWin_AUD_F_v01.mov,1,,0,070,061,001,AUD_F,10s,,-,,,,7/22/2020,070_LAC_PCC,06_ClippersWin,\070_LAC_PCC\06_ClippersWin\061_ClippersWin_AUD_F_v01.mov,-,nclc,nclc,10010,3152996962,10160,1600,6.350,CFR,29.970,3945194470,-,-,-,-,-,-,-,-
,,064_ClippersWIN_RIB_F_v01.mov,1,,0,070,064,010,RIB_F,10s,,-,,,,7/22/2020,070_LAC_PCC,06_ClippersWin,\070_LAC_PCC\06_ClippersWin\064_ClippersWIN_RIB_F_v01.mov,-,nclc,nclc,10010,220957134,9504,144,66.000,CFR,29.970,276475967,-,-,-,-,-,-,-,-
,,068_ClippersWIN_SCB_v01.mov,1,,,070,068,017,SCB,10s,,-,,,,7/22/2020,070_LAC_PCC,06_ClippersWin,\070_LAC_PCC\06_ClippersWin\068_ClippersWIN_SCB_v01.mov,-,nclc,nclc,10010,569613233,1920,1080,1.778,CFR,29.970,712732347,-,-,-,-,-,-,-,-
,07_LetsGoClippers,070_LetsGoClippers_AUDIO_v01.mov,1,,0,070,070,024,AUDIO,38.43s,,-R,,,,7/23/2020,070_LAC_PCC,07_LetsGoClippers,\070_LAC_PCC\07_LetsGoClippers\070_LetsGoClippers_AUDIO_v01.mov,-R,nclc,nclc,38467,21600,16,16,1.000,CFR,30.000,7490933,PCM,Little / Signed,sowt,38467,2,L R,48000,16
,,071_LetsGoClippers_AUD_F_v00.mov,0,,0,070,071,001,AUD_F,10s,,-,,,,,070_LAC_PCC,07_LetsGoClippers,\070_LAC_PCC\07_LetsGoClippers\071_LetsGoClippers_AUD_F_v00.mov,-,nclc,nclc,10010,3088284526,10160,1600,6.350,CFR,29.970,3866145394,PCM,Little / Signed,sowt,10011,2,L R,48000,16
,,074_LetsGoClippers_RIB_F_v01.mov,1,,0,070,074,010,RIB_F,10s,,-,,,,7/22/2020,070_LAC_PCC,07_LetsGoClippers,\070_LAC_PCC\07_LetsGoClippers\074_LetsGoClippers_RIB_F_v01.mov,-,nclc,nclc,10010,230548344,9504,144,66.000,CFR,29.970,290399421,PCM,Little / Signed,sowt,10011,2,L R,48000,16
,,078_LetsGoClippers_SCB_v00.mov,0,,,070,078,017,SCB,38.47s,,-,,,,7/22/2020,070_LAC_PCC,07_LetsGoClippers,\070_LAC_PCC\07_LetsGoClippers\078_LetsGoClippers_SCB_v00.mov,-,nclc,nclc,38506,469937117,1920,1080,1.778,CFR,29.970,2261886089,-,-,-,-,-,-,-,-
,08_Defense,080_Defense_AUDIO_v01.mov,1,,0,070,080,024,AUDIO,29.34s,,-R,,,,7/23/2020,070_LAC_PCC,08_Defense,\070_LAC_PCC\08_Defense\080_Defense_AUDIO_v01.mov,-R,nclc,nclc,29367,21600,16,16,1.000,CFR,30.000,5719091,PCM,Little / Signed,sowt,29367,2,L R,48000,16
,,081_Defense_AUD_F_v00.mov,0,,0,070,081,001,AUD_F,10s,,-,,,,,070_LAC_PCC,08_Defense,\070_LAC_PCC\08_Defense\081_Defense_AUD_F_v00.mov,-,nclc,nclc,10010,2872862576,10160,1600,6.350,CFR,29.970,3596598410,PCM,Little / Signed,sowt,10011,2,L R,48000,16
