9,,SYNC COMPLETE,CONTENT ERRORS,,FUSE PROGRAMMER,,,PROGRAMMING IN PROGRESS,,,HUD,CFD,,,RETURN TO INDEX,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,LOOK IDENTIFIER #,File Name,File Version,Notes,Version,Bank,Slot ,Mapping #,"Mapping 
Code",File Length,Play Mode,Error Flag,Midi Button,Notes to Kerstin,General/Show Call Notes,Upversioned Date,Folder,Look,File Path,Error Flag,Format,Codec_ID,Duration,Bit Rate,Width,Height,Aspect Ratio,Frame Rate Mode,Frame Rate,Stream Size,"Audio For,at",Audio Format/Settings,Audio Codec ID,Audio Duration,Audio Channels,Audio Channel Layout,Audio Sampling Rate,Audio Bit Depth
,,041_TwoMinutesPROMPT_AUD_F_v06.mov,6,,6,060,041,001,AUD_F,4s,,-,,,,,060_IND_PCC,04_TwoMinutesPROMPT,\060_IND_PCC\04_TwoMinutesPROMPT\041_TwoMinutesPROMPT_AUD_F_v06.mov,-,nclc,nclc,4004,812529543,10160,1600,6.350,CFR,29.970,407442344,PCM,Little / Signed,sowt,4005,2,L R,48000,16
,,044_TwoMinutesPROMPT_RIB_F_v06.mov,6,,6,060,044,010,RIB_F,4s,,-,,,,,060_IND_PCC,04_TwoMinutesPROMPT,\060_IND_PCC\04_TwoMinutesPROMPT\044_TwoMinutesPROMPT_RIB_F_v06.mov,-,nclc,nclc,4004,76132218,9504,144,66.000,CFR,29.970,38105569,-,-,-,-,-,-,-,-
,05_FanRallyGeneric1,050_FanRallyGeneric1_AUDIO_v01.mov,1,,,060,050,024,AUDIO,20s,,-,,,,7/22/2020 14:28:00,060_IND_PCC,05_FanRallyGeneric1,\060_IND_PCC\05_FanRallyGeneric1\050_FanRallyGeneric1_AUDIO_v01.mov,-,nclc,nclc,20020,53691,16,16,1.000,CFR,29.970,3981920,PCM,Little / Signed,sowt,20021,2,L R,48000,16
,,051_FanRallyGeneric1_AUD_F_v02.mov,2,,,060,051,001,AUD_F,20s,,-,,,,7/22/2020 20:07:21,060_IND_PCC,05_FanRallyGeneric1,\060_IND_PCC\05_FanRallyGeneric1\051_FanRallyGeneric1_AUD_F_v02.mov,-,nclc,nclc,20020,1401660781,10160,1600,6.350,CFR,29.970,3511509485,PCM,Little / Signed,sowt,20021,2,L R,48000,16
,,054_FanRallyGeneric1_RIB_F_v02.mov,2,,,060,054,010,RIB_F,20s,,-,,,,7/22/2020 20:07:21,060_IND_PCC,05_FanRallyGeneric1,\060_IND_PCC\05_FanRallyGeneric1\054_FanRallyGeneric1_RIB_F_v02.mov,-,nclc,nclc,20020,75782452,9504,144,66.000,CFR,29.970,193494800,PCM,Little / Signed,sowt,20021,2,L R,48000,16
,06_FanRallyGeneric2,060_FanRallyGeneric2_AUDIO_v01.mov,1,,,060,060,024,AUDIO,20s,,-,,,,7/22/2020 14:28:06,060_IND_PCC,06_FanRallyGeneric2,\060_IND_PCC\06_FanRallyGeneric2\060_FanRallyGeneric2_AUDIO_v01.mov,-,nclc,nclc,20020,53594,16,16,1.000,CFR,29.970,3981676,PCM,Little / Signed,sowt,20021,2,L R,48000,16
,,061_FanRallyGeneric2_AUD_v02.mov,2,,,060,061,,,20s,,-,,,,7/22/2020 20:07:20,060_IND_PCC,06_FanRallyGeneric2,\060_IND_PCC\06_FanRallyGeneric2\061_FanRallyGeneric2_AUD_v02.mov,-,nclc,nclc,20020,1406537592,10160,1600,6.350,CFR,29.970,3523713716,PCM,Little / Signed,sowt,20021,2,L R,48000,16
,,064_FanRallyGeneric2_RIB_F_v02.mov,2,,,060,064,010,RIB_F,20s,,-,,,,7/22/2020 20:07:19,060_IND_PCC,06_FanRallyGeneric2,\060_IND_PCC\06_FanRallyGeneric2\064_FanRallyGeneric2_RIB_F_v02.mov,-,nclc,nclc,20020,75813071,9504,144,66.000,CFR,29.970,193571425,PCM,Little / Signed,sowt,20021,2,L R,48000,16
,07_FanRally4thQuarter,070_FanRally4thQuarter_AUDIO_v01.mov,1,,,060,070,024,AUDIO,35.27s,,-,,,,,060_IND_PCC,07_FanRally4thQuarter,\060_IND_PCC\07_FanRally4thQuarter\070_FanRally4thQuarter_AUDIO_v01.mov,-,nclc,nclc,35302,53885,16,16,1.000,CFR,29.970,7021468,PCM,Little / Signed,sowt,35302,2,L R,48000,16
,,071_FanRally4thQuarter_AUD_F_v01.mov,1,,,060,071,001,AUD_F,35.27s,,-,,,,7/22/2020 14:28:10,060_IND_PCC,07_FanRally4thQuarter,\060_IND_PCC\07_FanRally4thQuarter\071_FanRally4thQuarter_AUD_F_v01.mov,-,nclc,nclc,35302,1670809933,10160,1600,6.350,CFR,29.970,7379652073,PCM,Little / Signed,sowt,35302,2,L R,48000,16
,,074_FanRally4thQuarter_RIB_F_v01.mov,1,,,060,074,010,RIB_F,35.27s,,-,,,,7/22/2020 14:28:11,060_IND_PCC,07_FanRally4thQuarter,\060_IND_PCC\07_FanRally4thQuarter\074_FanRally4thQuarter_RIB_F_v01.mov,-,nclc,nclc,35302,81475193,9504,144,66.000,CFR,29.970,366315561,PCM,Little / Signed,sowt,35302,2,L R,48000,16
